DateTime,Discharge Rate,Remaining Capacity,Available MBytes,Bytes Total/sec,Processor Time
12/28/2022 14:28:34,8476,53040,5573,4186.800987,0.97625226
12/28/2022 14:28:35,6959,53010,5580,22327.3463,1.77890883
12/28/2022 14:28:36,6959,53010,5578,1704.47241,4.225996752
12/28/2022 14:28:37,6959,53010,5585,2151.386426,1.731416422
12/28/2022 14:28:38,6959,53010,5590,7472.077709,3.716552351
12/28/2022 14:28:39,6959,53010,5577,2767.208995,3.413921784
12/28/2022 14:28:40,6959,53010,5465,409622.4099,20.0350135
12/28/2022 14:28:41,6959,53010,5461,85827.71471,5.576880289
12/28/2022 14:28:42,6959,53010,5439,67610.21979,8.198734448
12/28/2022 14:28:43,6959,53010,5422,108076.331,6.691293659
12/28/2022 14:28:44,6959,53010,5389,60670.70458,7.964991676
12/28/2022 14:28:45,6959,53010,5380,44888.83043,7.886531595
12/28/2022 14:28:46,6959,53010,5386,124343.3736,6.394648815
12/28/2022 14:28:47,6959,53010,5385,18808.26764,3.548221095
12/28/2022 14:28:48,6959,53010,5388,9059.07967,5.241685853
12/28/2022 14:28:49,6959,53010,5375,170064.4925,5.59616762
12/28/2022 14:28:50,7503,52970,5333,316735.269,17.11982834
12/28/2022 14:28:51,7503,52970,5308,82664.01513,6.160478816
12/28/2022 14:28:52,7503,52970,5259,1488633.059,14.20785329
12/28/2022 14:28:53,7503,52970,5243,152070.9499,7.194611001
12/28/2022 14:28:54,7503,52970,5246,9086.383375,9.591564732
12/28/2022 14:28:55,7503,52970,5263,15589.68928,10.54346464
12/28/2022 14:28:56,7503,52970,5268,50607.98983,5.775495978
12/28/2022 14:28:57,7503,52970,5232,254303.9736,10.1804949
12/28/2022 14:28:58,7503,52970,5241,7270.006211,5.218415282
12/28/2022 14:28:59,7503,52970,5258,13643.76267,4.784258129
12/28/2022 14:29:00,7503,52970,5270,13636.96127,7.419833723
12/28/2022 14:29:01,7503,52970,5314,50535.48372,4.35168254
12/28/2022 14:29:02,7503,52970,5317,285467.6056,4.862342882
12/28/2022 14:29:03,7503,52970,5319,183368.3946,6.080663669
12/28/2022 14:29:04,7503,52970,5271,185182.7284,9.410287258
12/28/2022 14:29:05,7503,52970,5312,206958.0687,7.139160579
12/28/2022 14:29:06,7503,52970,5289,279813.2856,2.941961824
12/28/2022 14:29:07,7503,52970,5282,96065.42637,8.090826277
12/28/2022 14:29:08,7503,52970,5313,189122.2814,9.942902298
12/28/2022 14:29:09,7503,52970,5277,202941.3236,7.982190049
12/28/2022 14:29:10,11510,52880,5277,17023.4299,3.459684545
12/28/2022 14:29:11,11510,52880,5277,9871.452816,2.958642
12/28/2022 14:29:12,11510,52880,5275,15816.55397,1.025269887
12/28/2022 14:29:13,11510,52880,5280,15820.98368,4.518039868
12/28/2022 14:29:14,11510,52880,5289,3776.630216,4.201377841
12/28/2022 14:29:15,11510,52880,5287,10253.69619,2.89273998
12/28/2022 14:29:16,11510,52880,5286,7995.20348,10.04866911
12/28/2022 14:29:17,11012,52850,5303,7105.872194,6.485161642
12/28/2022 14:29:18,11012,52850,5308,9162.9733,8.10909804
12/28/2022 14:29:19,11012,52830,5240,87607.51224,11.11177258
12/28/2022 14:29:20,11012,52830,5197,241068.8189,9.825998765
12/28/2022 14:29:21,11012,52830,5198,7222.153687,7.154307681
12/28/2022 14:29:22,11012,52830,5200,11024.84599,2.892638986
12/28/2022 14:29:23,11012,52830,5200,267749.6147,8.607437499
12/28/2022 14:29:24,11012,52830,5201,2284.911769,5.365657419
12/28/2022 14:29:25,11012,52830,5195,8241.236869,6.61437681
12/28/2022 14:29:26,11012,52830,5190,2065.148897,5.648730295
12/28/2022 14:29:27,11012,52830,5199,3341.831199,4.131382005
12/28/2022 14:29:28,11012,52830,5208,6645.23821,2.058492034
12/28/2022 14:29:29,11012,52830,5203,7388.289571,4.936415897
12/28/2022 14:29:30,11012,52830,5220,2471.723198,12.66153831
12/28/2022 14:29:31,11012,52830,5209,3228.178483,5.108618274
12/28/2022 14:29:32,11012,52830,5218,8597.32075,3.33358747
12/28/2022 14:29:33,11012,52830,5177,36217.64987,10.64719804
12/28/2022 14:29:34,10120,52790,5190,387337.237,6.366065164
12/28/2022 14:29:35,10120,52790,5181,206099.1283,2.097297877
12/28/2022 14:29:36,10120,52790,5181,258587.0605,8.675417166
12/28/2022 14:29:37,10120,52790,5178,338643.9147,5.066821562
12/28/2022 14:29:38,10120,52790,5152,213487.3612,10.78838526
12/28/2022 14:29:39,10120,52790,5140,15722.17802,6.364377094
12/28/2022 14:29:40,10120,52790,5121,213638.267,13.16635467
12/28/2022 14:29:41,10120,52790,5059,234303.6741,6.371973218
12/28/2022 14:29:42,10120,52790,5072,430542.417,7.069112485
12/28/2022 14:29:43,10120,52790,5059,132187.9602,4.075555846
12/28/2022 14:29:44,10120,52790,5058,186909.145,7.487316315
12/28/2022 14:29:45,10120,52790,5068,1885.130701,4.727115014
12/28/2022 14:29:46,10120,52790,5066,2199.16969,4.172329992
12/28/2022 14:29:47,10120,52790,5077,4645.195008,5.426753128
12/28/2022 14:29:48,10120,52790,5072,1607.15458,2.547335351
12/28/2022 14:29:49,10607,52740,5081,5386.84257,3.100019185
12/28/2022 14:29:50,10607,52740,5078,10634.89599,2.074330838
12/28/2022 14:29:51,10607,52740,5091,10791.62565,4.686417499
12/28/2022 14:29:52,10607,52740,5097,2131.139575,3.71704631
12/28/2022 14:29:53,10607,52740,5105,7220.305554,2.367205444
12/28/2022 14:29:54,10607,52740,5102,1963.098972,9.634743066
12/28/2022 14:29:55,10607,52740,5109,34889.98071,3.673776292
12/28/2022 14:29:56,10607,52740,5089,10668.65491,6.510370248
12/28/2022 14:29:57,10607,52740,5106,10491.36976,5.970712397
12/28/2022 14:29:58,10607,52740,5198,4714.097985,6.471578184
12/28/2022 14:29:59,10607,52740,5154,10791.36068,9.063854593
12/28/2022 14:30:00,10607,52740,5156,26627.88403,9.506422136
12/28/2022 14:30:01,10607,52740,5161,32383.22447,4.757132143
12/28/2022 14:30:02,10607,52740,5154,2137.360159,8.18622202
12/28/2022 14:30:03,10607,52740,5185,2175.641919,1.13185491
12/28/2022 14:30:04,10607,52740,5196,22103.0149,3.120367833
12/28/2022 14:30:05,10607,52740,5186,651.264283,2.582991284
12/28/2022 14:30:06,10607,52740,5187,7652.698801,4.197782599
12/28/2022 14:30:07,10607,52740,5198,5654.821051,5.103607662
12/28/2022 14:30:08,10607,52740,5188,2559.583497,2.205499763
12/28/2022 14:30:09,10607,52740,5187,1754.625955,1.429436166
12/28/2022 14:30:10,8407,52700,5192,3393.6418,2.832814105
12/28/2022 14:30:11,8407,52700,5197,3868.768337,2.049635074
12/28/2022 14:30:12,8407,52700,5188,4742.78395,3.67368757
12/28/2022 14:30:13,8407,52700,5192,5031.301109,3.186554121
12/28/2022 14:30:14,8407,52700,5191,3850.603383,4.782441428
12/28/2022 14:30:15,8407,52700,5195,1851.029023,4.777228424
12/28/2022 14:30:16,8407,52700,5200,7385.902332,3.491496677
12/28/2022 14:30:17,8175,52680,5215,2372.984789,2.710641125
12/28/2022 14:30:18,8175,52680,5206,1893.896937,0.677262701
12/28/2022 14:30:19,8175,52680,5213,5663.968789,5.88904877
12/28/2022 14:30:20,8175,52680,5214,4759.039217,2.599843032
12/28/2022 14:30:21,8175,52680,5209,15576.72535,4.050866422
12/28/2022 14:30:22,8175,52680,5213,2356.27613,6.736522442
12/28/2022 14:30:23,8175,52680,5209,3645.503482,4.578156199
12/28/2022 14:30:24,8175,52680,5208,1818.297941,2.972014289
12/28/2022 14:30:25,8175,52680,5212,2322.080263,1.351488629
12/28/2022 14:30:26,8175,52680,5214,2274.514164,2.735418553
12/28/2022 14:30:27,8175,52680,5227,2778.591916,4.834525418
12/28/2022 14:30:28,8175,52680,5206,2333.292435,5.962334827
12/28/2022 14:30:29,8175,52680,5195,6259.131442,10.42080752
12/28/2022 14:30:30,8175,52680,5205,1923.928703,4.243284597
12/28/2022 14:30:31,8175,52680,5210,2190.590627,3.226852969
12/28/2022 14:30:32,8175,52680,5206,2216.968543,2.969931953
12/28/2022 14:30:33,8175,52680,5207,2213.542856,5.323628384
12/28/2022 14:30:34,8175,52680,5201,2494.855001,3.307300739
12/28/2022 14:30:35,6901,52650,5207,2037.807886,0.024255039
12/28/2022 14:30:36,6901,52650,5212,2051.715076,3.778747421
12/28/2022 14:30:37,6901,52650,5222,2220.087013,5.362312039
12/28/2022 14:30:38,6901,52650,5232,2127.326927,6.069917245
12/28/2022 14:30:39,6901,52650,5229,2129.745242,2.3459453
12/28/2022 14:30:40,6901,52650,5231,5529.090885,6.111006319
12/28/2022 14:30:41,6901,52650,5227,2470.931349,3.149983149
12/28/2022 14:30:42,6901,52650,5227,1922.946259,0.717164051
12/28/2022 14:30:43,6901,52650,5221,1805.717443,4.157128969
12/28/2022 14:30:44,6901,52650,5229,3654.520757,4.591764216
12/28/2022 14:30:45,6901,52650,5236,2620.759529,3.683191983
12/28/2022 14:30:46,6901,52650,5304,2984.570453,9.796382669
12/28/2022 14:30:47,6901,52650,5303,1793.333998,6.588774492
12/28/2022 14:30:48,6901,52650,5303,1942.089934,4.469887316
12/28/2022 14:30:49,6901,52650,5303,2366.599638,2.099588828
12/28/2022 14:30:50,5963,52620,5301,1968.620389,1.978260003
12/28/2022 14:30:51,5963,52620,5302,4691.299021,2.90888378
12/28/2022 14:30:52,5963,52620,5301,3386.692897,3.529864897
12/28/2022 14:30:53,5963,52620,5303,24268.96826,2.9633104
12/28/2022 14:30:54,5963,52620,5300,1831.256165,1.380430013
12/28/2022 14:30:55,5963,52620,5301,2399.279075,1.863609798
12/28/2022 14:30:56,5963,52620,5304,1963.778987,2.250389347
12/28/2022 14:30:57,5963,52620,5302,1961.062984,2.200336574
12/28/2022 14:30:58,5963,52620,5301,20788.68121,3.876754129
12/28/2022 14:30:59,5963,52620,5302,38665.95729,8.302362417
12/28/2022 14:31:00,5963,52620,5302,2582.980217,3.729599859
12/28/2022 14:31:01,5963,52620,5297,4919.590147,3.956074339
12/28/2022 14:31:02,5963,52620,5299,2200.077133,3.844521931
12/28/2022 14:31:03,5963,52620,5296,2837.60117,4.022184997
12/28/2022 14:31:04,5963,52620,5296,3732.067086,3.132849455
12/28/2022 14:31:05,5963,52620,5296,4781.834462,4.395094193
12/28/2022 14:31:06,5963,52620,5296,3570.82424,4.768226285
12/28/2022 14:31:07,5963,52620,5299,3986.138074,2.690962933
12/28/2022 14:31:08,5963,52620,5297,4194.579752,1.873886703
12/28/2022 14:31:09,5813,52570,5296,5696.51786,0.789990912
12/28/2022 14:31:10,5813,52570,5300,4126.389173,5.580787837
12/28/2022 14:31:11,5813,52570,5297,4069.739114,3.694522396
12/28/2022 14:31:12,5813,52570,5299,4380.670554,2.731429327
12/28/2022 14:31:13,5813,52570,5302,4770.239336,3.193954932
12/28/2022 14:31:14,5813,52570,5295,4418.93684,2.619303185
12/28/2022 14:31:15,5813,52570,5301,3186.874015,1.13156214
